id,age,income,gender,city,target
1000,,6000.0,여,부산,0
1001,50.0,3000.0,nan,부산,0
1002,40.0,6000.0,여,서울,1
1003,50.0,,남,부산,0
1004,50.0,5000.0,여,부산,0
1005,30.0,6000.0,여,서울,0
1006,40.0,4000.0,여,대구,0
1007,40.0,3000.0,남,부산,0
1008,40.0,4000.0,nan,대구,0
1009,50.0,4000.0,nan,부산,0
1010,,6000.0,nan,대구,0
1011,40.0,3000.0,nan,부산,0
1012,50.0,5000.0,남,대구,1
1013,30.0,4000.0,여,대구,0
1014,,3000.0,nan,부산,0
1015,30.0,5000.0,nan,대구,0
1016,,4000.0,남,서울,0
1017,50.0,3000.0,여,서울,0
1018,20.0,6000.0,여,서울,1
1019,,4000.0,nan,대구,1
1020,30.0,4000.0,nan,부산,0
1021,50.0,3000.0,여,대구,0
1022,,4000.0,남,부산,0
1023,20.0,5000.0,여,대구,0
1024,20.0,4000.0,여,부산,0
1025,40.0,,nan,대구,0
1026,40.0,5000.0,남,대구,0
1027,30.0,3000.0,남,서울,0
1028,,5000.0,남,대구,0
1029,,,nan,서울,1
1030,40.0,,남,부산,1
1031,,4000.0,남,부산,0
1032,,4000.0,nan,서울,0
1033,20.0,6000.0,여,대구,0
1034,40.0,5000.0,남,부산,1
1035,50.0,6000.0,여,대구,1
1036,40.0,,남,대구,1
1037,50.0,4000.0,여,대구,0
1038,20.0,4000.0,여,부산,0
1039,30.0,4000.0,nan,부산,0
1040,,3000.0,nan,대구,0
1041,20.0,,남,서울,0
1042,,4000.0,남,서울,0
1043,30.0,,nan,서울,1
1044,30.0,4000.0,남,대구,1
1045,20.0,5000.0,남,서울,0
1046,30.0,,nan,부산,1
1047,50.0,6000.0,여,서울,0
1048,30.0,3000.0,남,서울,1
1049,,6000.0,nan,대구,1
1050,,,남,부산,0
1051,,4000.0,남,부산,0
1052,,,nan,서울,0
1053,50.0,3000.0,nan,대구,1
1054,40.0,,남,대구,0
1055,20.0,4000.0,남,서울,1
1056,,6000.0,여,부산,0
1057,30.0,5000.0,여,부산,0
1058,,6000.0,nan,부산,1
1059,30.0,4000.0,남,대구,0
1060,30.0,4000.0,nan,서울,0
1061,,3000.0,nan,대구,0
1062,50.0,,남,부산,0
1063,30.0,,여,대구,0
1064,30.0,6000.0,nan,부산,0
1065,,5000.0,nan,서울,0
1066,30.0,5000.0,남,부산,1
1067,30.0,3000.0,여,서울,0
1068,,4000.0,여,대구,1
1069,,3000.0,남,대구,0
1070,20.0,,nan,대구,0
1071,50.0,4000.0,남,부산,0
1072,50.0,3000.0,남,서울,0
1073,30.0,6000.0,여,대구,0
1074,50.0,,nan,대구,0
1075,30.0,5000.0,nan,서울,1
1076,20.0,3000.0,여,부산,0
1077,,,nan,대구,0
1078,,,nan,부산,0
1079,,5000.0,남,부산,1
1080,50.0,5000.0,남,부산,0
1081,20.0,5000.0,남,대구,1
1082,50.0,3000.0,nan,대구,0
1083,50.0,5000.0,nan,서울,0
1084,20.0,6000.0,nan,서울,0
1085,20.0,,nan,부산,1
1086,20.0,5000.0,여,대구,0
1087,20.0,,여,부산,0
1088,,4000.0,nan,서울,0
1089,40.0,4000.0,남,부산,0
1090,40.0,5000.0,남,부산,0
1091,20.0,,여,대구,0
1092,40.0,4000.0,여,부산,0
1093,40.0,5000.0,nan,부산,1
1094,20.0,,nan,대구,0
1095,40.0,5000.0,nan,대구,0
1096,50.0,,nan,서울,0
1097,30.0,4000.0,nan,대구,1
1098,30.0,5000.0,남,부산,0
1099,20.0,4000.0,남,서울,0
1100,,5000.0,nan,서울,0
1101,20.0,3000.0,남,서울,0
1102,,4000.0,nan,서울,0
1103,30.0,4000.0,nan,부산,0
1104,20.0,6000.0,여,부산,0
1105,50.0,4000.0,남,부산,1
1106,40.0,,남,부산,1
1107,,5000.0,여,서울,0
1108,40.0,3000.0,남,부산,0
1109,40.0,,여,서울,1
1110,20.0,,남,대구,1
1111,40.0,,nan,부산,0
1112,50.0,,여,대구,0
1113,40.0,3000.0,nan,대구,1
1114,20.0,6000.0,nan,부산,0
1115,50.0,4000.0,남,서울,1
1116,30.0,,여,대구,0
1117,40.0,4000.0,nan,부산,0
1118,20.0,4000.0,nan,대구,0
1119,30.0,,여,대구,0
1120,30.0,6000.0,남,부산,0
1121,,4000.0,nan,대구,1
1122,50.0,5000.0,남,서울,0
1123,40.0,4000.0,여,서울,1
1124,20.0,,남,대구,0
1125,,3000.0,여,대구,0
1126,50.0,4000.0,남,부산,0
1127,,6000.0,남,서울,1
1128,50.0,5000.0,nan,대구,0
1129,50.0,5000.0,남,서울,0
1130,40.0,3000.0,nan,대구,1
1131,50.0,3000.0,여,부산,0
1132,,4000.0,여,부산,1
1133,50.0,,nan,서울,1
1134,40.0,6000.0,남,서울,0
1135,40.0,5000.0,여,대구,0
1136,,3000.0,여,대구,1
1137,30.0,6000.0,여,대구,0
1138,30.0,,nan,서울,0
1139,50.0,5000.0,여,부산,0
1140,20.0,5000.0,여,부산,0
1141,50.0,,여,서울,1
1142,,5000.0,여,부산,1
1143,,,nan,서울,1
1144,,5000.0,nan,대구,1
1145,,4000.0,남,서울,0
1146,,,여,부산,1
1147,40.0,6000.0,nan,서울,0
1148,30.0,4000.0,남,서울,0
1149,,6000.0,남,서울,1
1150,20.0,5000.0,여,서울,0
